row_label_std,normalized_label,occurrences,numeric_occurrences,amount_abs_total,example_source_cell_ref,top_candidate_code,top_candidate_name,top_candidate_score,top_candidate_method,meta_json
(2)年末其他应付款中金额较大的,(2)年末其他应付款中金额较大的,6,0,0,债务人审计报告-2022年:15:aliyun_table:2:5-5:0-6,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
(2)年末应付账款中金额较大的,(2)年末应付账款中金额较大的,6,0,0,债务人审计报告-2022年:15:aliyun_table:1:4-4:0-6,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
1-2年,1-2年,34,13,1090889682.4774,债务人审计报告-2022年:13:aliyun_table:1:3-3:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
12.应交税金,12.应交税金,6,0,0,债务人审计报告-2022年:15:aliyun_table:1:12-12:0-6,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
"14,578,207.713,现金及现金等价物净增加情况","14,578,207.713,现金及现金等价物净增加情况",1,0,0,债务人审计报告-2022年:6:aliyun_table:0:29-29:5-5,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""cash_flow""]}"
14.长期借款,14.长期借款,6,0,0,债务人审计报告-2022年:15:aliyun_table:2:9-9:0-6,ZT_105,长期借款,0.65,prefix_suffix_heuristic,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
16.未分配利润,16.未分配利润,2,0,0,债务人审计报告-2022年:16:aliyun_table:0:3-3:0-4,ZT_131,未分配利润,0.691827,prefix_suffix_heuristic,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
"2,不涉及现金收支的投资和筹资活动","2,不涉及现金收支的投资和筹资活动",2,0,0,债务人审计报告-2022年:6:aliyun_table:0:22-22:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
2.应收票据,2.应收票据,2,0,0,债务人审计报告-2022年:13:aliyun_table:0:4-4:0-2,ZT_007,应收票据,0.723333,prefix_suffix_heuristic,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
"3,现金及现金等价物净增加情况","3,现金及现金等价物净增加情况",1,0,0,债务人审计报告-2022年:6:tencent_table_v3:5:29-29:5-5,,,0.0,,"{""providers"":[""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
