duplicate_group_id,doc_id,statement_type,statement_group_key,period_key,canonical_key,kept_fact_id,dropped_fact_id,kept_provider,dropped_provider,kept_source_cell_ref,dropped_source_cell_ref,dedupe_reason,decision,meta_json
DUP00001,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_001,F000001,F000143,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:2-2:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:2-2:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":396149420.62,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":396149420.62}"
DUP00002,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_001,F000002,F000144,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:2-2:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:2-2:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":401700701.94,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":401700701.94}"
DUP00003,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,短期投资,F000003,F000145,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:3-3:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:3-3:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00004,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,短期投资,F000004,F000146,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:3-3:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:3-3:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00005,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_007,F000005,F000147,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:4-4:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:4-4:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00006,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_007,F000006,F000148,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:4-4:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:4-4:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":30700000.0,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":30700000.0}"
DUP00007,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_016,F000007,F000149,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:5-5:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:5-5:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00008,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_016,F000008,F000150,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:5-5:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:5-5:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00009,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_015,F000009,F000151,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:6-6:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:6-6:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00010,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_015,F000010,F000152,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:6-6:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:6-6:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00011,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_008,F000011,F000153,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:7-7:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:7-7:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":220648863.87,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":220648863.87}"
