doc_id,page_no,providers_present,aligned_groups,compared_pairs,equal_pairs,conflict_pairs,uncomparable_groups,reason,meta_json
债务人审计报告-2022年,4,"aliyun_table,tencent_table_v3",140,52,51,1,88,compared,"{""facts_missing_alignment_key"":2,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,5,"aliyun_table,tencent_table_v3",58,35,35,0,23,compared,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,6,"aliyun_table,tencent_table_v3",24,9,9,0,15,compared,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,10,"aliyun_table,tencent_table_v3",10,10,10,0,0,compared,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,12,"aliyun_table,tencent_table_v3",3,3,3,0,0,compared,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,13,"aliyun_table,tencent_table_v3",22,22,22,0,0,compared,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,14,"aliyun_table,tencent_table_v3",68,65,65,0,3,compared,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,15,"aliyun_table,tencent_table_v3",0,0,0,0,0,no_aligned_pairs_found,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,16,"aliyun_table,tencent_table_v3",2,2,2,0,0,compared,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
债务人审计报告-2022年,17,"aliyun_table,tencent_table_v3",24,22,18,4,2,compared,"{""facts_missing_alignment_key"":0,""providers_present"":[""aliyun_table"",""tencent_table_v3""]}"
