doc_id,page_no,provider,statement_type,row_label_raw,row_label_std,normalized_label,candidate_code,candidate_name,candidate_rank,candidate_score,candidate_method,relation_type,review_required,source_cell_ref,meta_json
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期投资:,长期投资,长期投资,ZT_042,其他长期投资,1,0.723333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:16-16:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期投资:,长期投资,长期投资,ZT_039,长期股权投资,2,0.673333,token_overlap,,False,债务人审计报告-2022年:4:aliyun_table:0:16-16:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期投资:,长期投资,长期投资,ZT_042,其他长期投资,1,0.723333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:16-16:3-3,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期投资:,长期投资,长期投资,ZT_039,长期股权投资,2,0.673333,token_overlap,,False,债务人审计报告-2022年:4:aliyun_table:0:16-16:3-3,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期债权投资,长期债权投资,长期债权投资,ZT_036,债权投资,1,0.723333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:18-18:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期债权投资,长期债权投资,长期债权投资,ZT_039,长期股权投资,2,0.708333,token_overlap,,False,债务人审计报告-2022年:4:aliyun_table:0:18-18:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期债权投资,长期债权投资,长期债权投资,ZT_036,债权投资,1,0.723333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:18-18:3-3,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期债权投资,长期债权投资,长期债权投资,ZT_039,长期股权投资,2,0.708333,token_overlap,,False,债务人审计报告-2022年:4:aliyun_table:0:18-18:3-3,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产:,固定资产,固定资产,ZT_045,固定资产净额,1,0.753333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:20-20:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产:,固定资产,固定资产,ZT_046,固定资产原值,2,0.753333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:20-20:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产:,固定资产,固定资产,ZT_049,固定资产清理,3,0.753333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:20-20:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产:,固定资产,固定资产,ZT_045,固定资产净额,1,0.753333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:20-20:3-3,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产:,固定资产,固定资产,ZT_046,固定资产原值,2,0.753333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:20-20:3-3,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产:,固定资产,固定资产,ZT_049,固定资产清理,3,0.753333,prefix_suffix_heuristic,,False,债务人审计报告-2022年:4:aliyun_table:0:20-20:3-3,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产原价,固定资产原价,固定资产原价,ZT_046,固定资产原值,1,0.708333,token_overlap,,False,债务人审计报告-2022年:4:aliyun_table:0:21-21:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产原价,固定资产原价,固定资产原价,ZT_046,固定资产原值,1,0.708333,token_overlap,,False,债务人审计报告-2022年:4:aliyun_table:0:21-21:3-3,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,减:累计折旧,减:累计折旧,:累计折旧,ZT_047,减:累计折旧,1,1.0,exact_normalized_match,,False,债务人审计报告-2022年:4:aliyun_table:0:22-22:2-2,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,减:累计折旧,减:累计折旧,:累计折旧,ZT_047,减:累计折旧,1,1.0,exact_normalized_match,,False,债务人审计报告-2022年:4:aliyun_table:0:22-22:3-3,
