text_raw,reason,count
-,expected_numeric_but_unparseable,105
期末数,expected_numeric_but_unparseable,12
期初数,expected_numeric_but_unparseable,9
合计,expected_numeric_but_unparseable,7
(2)年末应付账款中金额较大的,contains_chinese_noise|expected_numeric_but_unparseable,6
秀所11.应付工资东洋会(普通仓,contains_chinese_noise|expected_numeric_but_unparseable,6
12.应交税金,contains_chinese_noise|expected_numeric_but_unparseable,6
(2)年末其他应付款中金额较大的,contains_chinese_noise|expected_numeric_but_unparseable,6
14.长期借款,contains_chinese_noise|expected_numeric_but_unparseable,6
单位名称,expected_numeric_but_unparseable,4
期末余额,expected_numeric_but_unparseable,4
项目,expected_numeric_but_unparseable,3
审1198.49,contains_chinese_noise|expected_numeric_but_unparseable,3
上114，198.49,contains_chinese_noise|expected_numeric_but_unparseable,3
上期发生额,expected_numeric_but_unparseable,3
本期发生额,expected_numeric_but_unparseable,3
2.应收票据,contains_chinese_noise|expected_numeric_but_unparseable,2
本期增加,expected_numeric_but_unparseable,2
本期减少,expected_numeric_but_unparseable,2
账龄,expected_numeric_but_unparseable,2
